"Legajo","materia","cond_regularidad","nota"
7891,4,2,2
7428,5,4,6
7435,5,2,2
7435,5,4,5
7442,5,2,2
7442,5,2,2
7442,5,4,7.5
7451,5,4,7
7454,5,2,2
7462,5,4,9
7499,5,4,5
7604,5,4,7
7704,5,2,2
7704,5,2,3
7751,5,4,5
7428,7,4,7
7435,7,5,7.5
7442,7,2,3
7451,7,5,9
7454,7,2,2
7454,7,5,7
7462,7,4,6
7499,7,2,2
7499,7,1,3
7604,7,4,5
7677,7,4,6
7704,7,2,2
7704,7,4,5
7751,7,4,5
7780,7,2,2
7428,125,5,7
7435,125,4,5
7442,125,2,3
7442,125,2,0
7442,125,2,1
7451,125,5,7
7454,125,4,4.5
7462,125,4,5.5
7604,125,4,4
7704,125,2,2
7704,125,2,1
7704,125,5,7.25
7751,125,4,4.5
7428,127,5,9
7435,127,4,6
7442,127,4,5
7451,127,5,8
7454,127,5,8
7462,127,5,10
7499,127,4,6
7604,127,4,5.5
7677,127,4,6.5
7704,127,5,10
7751,127,5,10
7428,145,5,10
7435,145,5,7
7442,145,5,9
7451,145,5,9
7454,145,5,7
7462,145,5,8
7604,145,5,7
7608,145,5,7
7627,145,4,6
7654,145,5,7
7666,145,5,7
7672,145,4,5
7677,145,5,7
7704,145,5,8
7751,145,5,8
7891,145,5,7
7428,193,4,10
7435,193,4,7
7442,193,4,7.9
7451,193,4,5
7454,193,4,7.9
7462,193,4,10
7499,193,4,6.4
7604,193,4,8.6
7608,193,4,7.2
7627,193,4,5
7666,193,4,5.7
7677,193,4,7.2
7704,193,4,7.9
7751,193,4,9.3
7780,193,4,5
